,,,1,A Furlong Too Late,6.6,91,2 oz Light rum,4 oz Ginger beer,1 twist of Lemon peel
2,A Night In Old Mandalay,6.5,94,1 oz Light rum,1 oz Añejo rum,1 oz Orange juice,1/2 oz Lemon juice,3 oz Ginger ale,1 twist of Lemon peel
3,A. J.,6.5,85,1 1/2 oz Applejack,1 oz Grapefruit juice,,,,
4,Abbey Cocktail,7.2,9908,1 1/2 oz Gin,1 dash Orange bitters,Juice of 1/4 Orange,1 Cherry,,
5,Abilene,7.2,332,1 1/2 oz Dark rum,2 oz Peach nectar,3 oz Orange juice,,,
6,Acapulco,7.1,107,1 1/2 oz Light rum,1 1/2 tsp Triple sec,1 tblsp Lime juice,1 tsp Sugar,1 Egg white,1 Mint
7,Adam,6.7,84,2 oz Dark rum,1 oz Lemon juice,1 tsp Grenadine,,,
8,Adonis Cocktail,6.4,115,3/4 oz Sweet Vermouth,1 1/2 oz dry Sherry,1 dash Orange bitters,,,
9,Affair,6.7,97,2 oz Strawberry schnapps,2 oz Orange juice,2 oz Cranberry juice,,,
10,Affinity,6.5,126,1 1/2 oz Scotch,1 oz Sweet Vermouth,1 oz Dry Vermouth,2 dashes Orange bitters,,
11,After Dinner Cocktail,5.9,137,1 oz Apricot brandy,1 oz Triple sec,Juice of 1 Lime,1 Lime,,
12,After Supper Cocktail,6.5,122,1 oz Triple sec,1 oz Apricot brandy,1/2 tsp Lemon juice,,,
13,Alabama Slammer,6.5,1006,1 oz Southern Comfort,1 oz Amaretto,1/2 oz Sloe gin,1 dash Lemon juice,,
14,Alaska Cocktail,6.4,108,2 dashes Orange bitters,1 1/2 oz Gin,3/4 oz Yellow Chartreuse,Twist of Lemon peel,,
15,Alexander,6.5,105,1/2 oz Gin,1/2 oz white Creme de Cacao,2 oz Light cream,,,
16,Alexander #2,6.5,117,1 oz Gin,1 oz white Creme de Cacao,1 oz Light cream,,,
17,Brandy Alexander,6.4,125,1 oz Brandy,1 oz white Creme de Cacao,1 oz Light cream,,,
18,Alexander's Big Brother,6.4,110,2 oz Gin,1/2 oz Blue Curacao,1/2 oz Heavy cream,,,
19,Alexander's Sister,6.6,98,1 1/2 oz Gin,1 oz Green Creme de Menthe,1 oz Heavy cream,1/8 tsp grated Nutmeg,,
20,Alfie Cocktail,6.4,114,1 1/2 oz Lemon vodka,1 dash Triple sec,1 tblsp Pineapple juice,,,
21,Algonquin,6.4,117,1 1/2 oz Blended whiskey,1 oz Dry Vermouth,1 oz Pineapple juice,,,
22,Allegheny,6.5,86,1 oz Dry Vermouth,1 oz Bourbon,1 1/2 tsp Blackberry brandy,1 1/2 tsp Lemon juice,1 twist of Lemon peel,
23,Allies Cocktail,6.4,117,1 oz Dry Vermouth,1 oz Gin,1/2 tsp Kummel,,,
24,Almeria,6.5,92,2 oz Dark rum,1 oz Kahlua,1 Egg white,,,
25,Almond Joy,5.9,101,1/2 oz Amaretto,1/2 oz white Creme de Cacao,2 oz Light cream,,,
26,Amaretto And Cream,6.5,90,1 1/2 oz Amaretto,1 1/2 oz Light cream,,,,
27,Amaretto Mist,7.6,17,1 1/2 oz Amaretto,1 Lime,,,,
28,Amaretto Rose,6.3,54,1 1/2 oz Amaretto,1/2 oz Lime juice,,,,
29,Amaretto Stinger,5.6,11,1 1/2 oz Amaretto,3/4 oz White Creme de Menthe,,,,
30,Amaretto Tea,6.8,10,6 oz hot Tea,2 oz Amaretto,Chilled Whipped cream,,,
31,Ambrosia,6.3,11,1 oz Applejack,1 oz Brandy,1 dash Triple sec,Juice of 1 Lemon,Chilled Champagne,
32,Amer Picon Cocktail,4.3,3,1 tsp Grenadine,1 1/2 oz Amer Picon,Juice of 1 Lime,,,
33,American Beauty,4.1,16,1 oz Brandy,1/2 oz Dry Vermouth,1/4 tsp White Creme de Menthe,1 oz Orange juice,1 tsp Grenadine,1/2 oz Tawny port
34,Andalusia,6.7,7,1/2 oz Light rum,1 1/2 oz dry Sherry,1/2 oz Brandy,,,
35,Angel Face,8.6,5,1/2 oz Apricot brandy,1/2 oz Apple brandy,1 oz Gin,,,
36,Angel's Kiss,8.1,19,1/4 oz white Creme de Cacao,1/4 oz Sloe gin,1/4 oz Brandy,1/4 oz Light cream,,
37,Angel's Wing,6.1,8,1/2 oz white Creme de Cacao,1/2 oz Brandy,1 tblsp Light cream,,,
38,Angler's Cocktail,4.8,4,1 1/2 oz Gin,1 dash Grenadine,2 dashes Bitters,3 dashes Orange bitters,,
39,Ante,6.0,3,1 oz Apple brandy,1/2 oz Triple sec,1 oz Dubonnet Rouge,,,
40,Antoine Special,6.7,6,1 1/2 oz Dubonnet Blanc,1 1/2 oz Dry Vermouth,,,,
41,Apple Blow Fizz,6.4,5,2 oz Apple brandy,Juice of 1/2 Lemon,1 tsp Powdered sugar,1 Egg white,,
42,Apple Brandy Highball,7.8,5,2 oz Apple brandy,1 twist of Lemon peel,,,,
43,Apple Brandy Sour,6.2,6,2 oz Apple brandy,1/2 tsp Powdered sugar,Juice of 1/2 Lemon,1/2 slice Lemon,1 Cherry,
44,Apple Colada,7.2,6,2 oz Apple schnapps,1 oz Cream of coconut,1 oz Half-and-half,1 slice Apple,1 Cherry,
45,Apple Pie,6.2,13,1 oz Light rum,1/2 oz Sweet Vermouth,1 tsp Applejack,1 tsp Lemon juice,1/2 tsp Grenadine,
46,Apple Rum Rickey,6.0,4,3/4 oz Light rum,3/4 oz Applejack,1/4 Lime,,,
47,Applecar,6.2,6,1 oz Applejack,1 oz Triple sec,1 oz Lemon juice,,,
48,Appled Rum Cooler,4.7,3,1 1/2 oz Añejo rum,1/2 oz Applejack,2 tsp Lime juice,2 oz Club soda,,
49,Apricot Anise Collins,7.5,6,1/2 oz Apricot brandy,1 1/2 oz Gin,1 1/2 tsp Anisette,1 tblsp Lemon juice,1 slice Lemon,
